WK_ID	WKR_NAME	LAND_ABR	UnionShare	UnionLo	UnionHi	SPDShare	SPDLo	SPDHi	AfDShare	AfDLo	AfDHi	GreenShare	GreenLo	GreenHi	FDPShare	FDPLo	FDPHi	LinkeShare	LinkeLo	LinkeHi	BSWShare	BSWLo	BSWHi	FWShare	FWLo	FWHi	SonstigeShare	SonstigeLo	SonstigeHi	Winner25	Second25	Winner21	YouGovCall	ChangeFrom21
1	Flensburg – Schleswig	SH	24	20	28	18	14	23	15	12	19	24	20	28	3	2	5	5	3	8	0	0	0	1	1	2	9	6	12	Bündnis 90/Die Grünen	CDU/CSU	Bündnis 90/Die Grünen	Unentschieden	Wahlkreis verteidigt von Bündnis 90/Die Grünen
2	Nordfriesland – Dithmarschen Nord	SH	33	29	38	21	17	27	17	14	20	12	9	15	3	2	5	5	3	6	0	0	0	2	1	4	6	4	10	CDU/CSU	SPD	CDU/CSU	Wahrscheinlich CDU/CSU	Wahlkreis verteidigt von CDU/CSU
3	Steinburg – Dithmarschen Süd	SH	34	30	38	21	16	27	19	17	22	10	8	13	4	3	6	4	3	6	0	0	0	3	1	4	4	2	6	CDU/CSU	SPD	CDU/CSU	Wahrscheinlich CDU/CSU	Wahlkreis verteidigt von CDU/CSU
4	Rendsburg-Eckernförde	SH	32	29	37	25	21	31	15	12	18	12	9	15	3	2	4	4	3	6	0	0	0	1	1	2	7	4	10	CDU/CSU	SPD	SPD	Tendenz zu CDU/CSU	CDU/CSU Gewonnen von SPD
5	Kiel	SH	22	18	25	21	16	26	14	12	17	26	22	30	4	2	5	8	6	11	0	0	0	1	1	1	5	3	7	Bündnis 90/Die Grünen	CDU/CSU	SPD	Unentschieden	Bündnis 90/Die Grünen Gewonnen von SPD
6	Plön – Neumünster	SH	32	29	36	24	19	28	17	15	19	13	10	15	3	2	4	5	4	7	0	0	0	2	1	2	4	3	6	CDU/CSU	SPD	SPD	Tendenz zu CDU/CSU	CDU/CSU Gewonnen von SPD
7	Pinneberg	SH	33	30	37	22	18	27	15	13	17	14	12	16	3	2	5	5	4	7	0	0	0	2	1	2	5	3	7	CDU/CSU	SPD	SPD	Wahrscheinlich CDU/CSU	CDU/CSU Gewonnen von SPD
8	Segeberg – Stormarn-Mitte	SH	34	31	38	24	20	28	16	14	18	12	10	15	3	2	5	5	3	7	0	0	0	2	1	2	4	3	5	CDU/CSU	SPD	SPD	Wahrscheinlich CDU/CSU	CDU/CSU Gewonnen von SPD
9	Ostholstein – Stormarn-Nord	SH	32	29	37	29	25	34	15	13	17	10	8	12	3	2	4	5	4	7	0	0	0	2	1	3	3	2	5	CDU/CSU	SPD	SPD	Unentschieden	CDU/CSU Gewonnen von SPD
10	Herzogtum Lauenburg – Stormarn-Süd	SH	35	32	39	21	17	25	15	13	17	14	13	17	4	2	5	5	4	7	0	0	0	2	1	2	3	2	5	CDU/CSU	SPD	SPD	Wahrscheinlich CDU/CSU	CDU/CSU Gewonnen von SPD
11	Lübeck	SH	23	20	27	25	21	30	16	14	19	17	14	20	3	2	4	8	6	11	0	0	0	1	1	2	6	4	8	SPD	CDU/CSU	SPD	Unentschieden	Wahlkreis verteidigt von SPD
12	Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I	MV	22	19	25	19	15	22	30	27	33	6	5	8	2	1	3	14	11	17	0	0	0	1	1	2	6	4	8	AfD	CDU/CSU	SPD	Tendenz zu AfD	AfD Gewonnen von SPD
13	Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I	MV	19	16	22	22	18	26	31	28	34	5	4	6	2	1	3	14	11	18	0	0	0	1	1	2	5	3	7	AfD	SPD	SPD	Tendenz zu AfD	AfD Gewonnen von SPD
14	Rostock – Landkreis Rostock II	MV	17	14	19	20	16	24	26	23	29	5	4	7	3	2	4	24	19	29	0	0	0	1	0	1	4	3	6	AfD	Die Linke	SPD	Unentschieden	AfD Gewonnen von SPD
15	Vorpommern-Rügen – Vorpommern-Greifswald I	MV	19	16	22	19	15	23	33	30	36	4	3	6	2	1	3	15	12	18	0	0	0	1	1	2	6	4	8	AfD	CDU/CSU	SPD	Wahrscheinlich AfD	AfD Gewonnen von SPD
16	Mecklenburgische Seenplatte I – Vorpommern-Greifswald II 	MV	21	17	25	17	14	22	38	35	42	3	2	5	2	1	3	11	8	14	0	0	0	1	1	2	6	4	9	AfD	CDU/CSU	SPD	Wahrscheinlich AfD	AfD Gewonnen von SPD
17	Mecklenburgische Seenplatte II – Landkreis Rostock III	MV	19	16	22	21	17	26	34	31	38	4	3	5	2	1	3	12	9	17	0	0	0	2	1	3	6	3	8	AfD	SPD	SPD	Wahrscheinlich AfD	AfD Gewonnen von SPD
18	Hamburg-Mitte	HH	16	14	19	30	26	35	14	12	17	18	16	21	4	3	6	12	9	15	0	0	0	1	0	1	4	3	6	SPD	Bündnis 90/Die Grünen	SPD	Wahrscheinlich SPD	Wahlkreis verteidigt von SPD
19	Hamburg-Altona	HH	23	20	27	24	19	27	10	8	11	23	20	27	4	3	6	11	8	15	0	0	0	0	0	1	4	3	6	SPD	CDU/CSU	Bündnis 90/Die Grünen	Unentschieden	SPD Gewonnen von Bündnis 90/Die Grünen
20	Hamburg-Eimsbüttel	HH	23	19	26	29	24	34	10	8	12	21	17	25	5	3	7	9	6	12	0	0	0	1	0	1	4	2	5	SPD	CDU/CSU	Bündnis 90/Die Grünen	Tendenz zu SPD	SPD Gewonnen von Bündnis 90/Die Grünen
21	Hamburg-Nord	HH	28	25	31	29	24	33	9	8	11	20	17	23	4	3	6	6	4	8	0	0	0	1	0	1	3	2	4	SPD	CDU/CSU	SPD	Unentschieden	Wahlkreis verteidigt von SPD
22	Hamburg-Wandsbek	HH	23	19	26	33	29	39	17	15	19	11	9	13	3	2	4	8	6	10	0	0	0	1	1	1	4	3	6	SPD	CDU/CSU	SPD	Wahrscheinlich SPD	Wahlkreis verteidigt von SPD
23	Hamburg-Bergedorf – Harburg	HH	20	17	23	28	23	34	20	18	23	13	10	15	3	2	4	11	8	14	0	0	0	1	1	1	5	3	7	SPD	AfD	SPD	Tendenz zu SPD	Wahlkreis verteidigt von SPD
24	Aurich – Emden	NI	24	19	28	39	33	46	12	9	15	9	6	11	3	2	4	8	6	11	0	0	0	0	0	0	5	3	8	SPD	CDU/CSU	SPD	Wahrscheinlich SPD	Wahlkreis verteidigt von SPD
25	Unterems	NI	42	38	47	24	19	30	15	13	18	7	6	9	2	1	3	4	2	5	0	0	0	2	1	2	4	2	5	CDU/CSU	SPD	CDU/CSU	Wahrscheinlich CDU/CSU	Wahlkreis verteidigt von CDU/CSU
26	Friesland – Wilhelmshaven – Wittmund	NI	24	21	28	33	28	39	18	16	21	9	7	11	2	1	3	6	4	8	0	0	0	1	1	2	6	4	8	SPD	CDU/CSU	SPD	Tendenz zu SPD	Wahlkreis verteidigt von SPD
27	Oldenburg – Ammerland	NI	23	20	26	33	27	39	13	11	15	16	13	19	3	2	4	8	6	11	0	0	0	1	0	1	3	2	4	SPD	CDU/CSU	SPD	Tendenz zu SPD	Wahlkreis verteidigt von SPD
28	Delmenhorst – Wesermarsch – Oldenburg-Land	NI	31	28	35	27	22	32	17	15	19	10	8	12	3	2	4	5	3	7	0	0	0	2	1	2	5	3	7	CDU/CSU	SPD	SPD	Unentschieden	CDU/CSU Gewonnen von SPD
29	Cuxhaven – Stade II	NI	33	30	38	26	22	31	17	14	19	9	8	11	2	1	3	5	3	7	0	0	0	1	1	2	6	4	8	CDU/CSU	SPD	SPD	Tendenz zu CDU/CSU	CDU/CSU Gewonnen von SPD
30	Stade I – Rotenburg II	NI	38	34	42	23	18	28	16	14	17	11	9	13	3	2	4	5	4	7	0	0	0	0	0	0	5	3	7	CDU/CSU	SPD	CDU/CSU	Wahrscheinlich CDU/CSU	Wahlkreis verteidigt von CDU/CSU
31	Mittelems	NI	43	39	47	22	17	26	13	11	14	10	8	12	3	2	5	4	3	5	0	0	0	2	1	3	4	3	6	CDU/CSU	SPD	CDU/CSU	Wahrscheinlich CDU/CSU	Wahlkreis verteidigt von CDU/CSU
32	Cloppenburg – Vechta	NI	48	43	53	16	12	21	15	12	17	8	6	10	2	1	4	4	2	5	0	0	0	3	1	4	4	2	6	CDU/CSU	SPD	CDU/CSU	Mit hoher Wahrscheinlichkeit CDU/CSU	Wahlkreis verteidigt von CDU/CSU
33	Diepholz – Nienburg I	NI	38	34	42	25	20	30	15	13	17	10	8	12	3	2	4	4	3	6	0	0	0	1	1	2	4	2	5	CDU/CSU	SPD	CDU/CSU	Wahrscheinlich CDU/CSU	Wahlkreis verteidigt von CDU/CSU
34	Osterholz – Verden	NI	39	35	44	24	18	29	10	8	12	13	10	16	3	2	5	6	4	8	0	0	0	0	0	0	5	3	7	CDU/CSU	SPD	CDU/CSU	Wahrscheinlich CDU/CSU	Wahlkreis verteidigt von CDU/CSU
35	Rotenburg I – Heidekreis	NI	29	25	33	32	27	38	17	15	19	9	7	10	2	1	3	7	5	9	0	0	0	1	1	2	3	2	5	SPD	CDU/CSU	SPD	Unentschieden	Wahlkreis verteidigt von SPD
36	Harburg	NI	35	31	39	24	19	28	15	13	17	13	10	15	3	2	4	5	3	7	0	0	0	1	1	2	4	2	6	CDU/CSU	SPD	SPD	Wahrscheinlich CDU/CSU	CDU/CSU Gewonnen von SPD
37	Lüchow-Dannenberg – Lüneburg	NI	27	24	31	24	19	30	14	12	16	19	16	22	3	2	4	7	5	9	0	0	0	1	1	2	4	3	6	CDU/CSU	SPD	SPD	Unentschieden	CDU/CSU Gewonnen von SPD
38	Osnabrück-Land	NI	37	33	41	24	20	30	14	13	16	12	10	15	3	2	4	4	3	6	0	0	0	0	0	0	6	4	8	CDU/CSU	SPD	CDU/CSU	Wahrscheinlich CDU/CSU	Wahlkreis verteidigt von CDU/CSU
39	Stadt Osnabrück	NI	31	27	35	25	20	30	12	10	13	17	14	20	3	2	4	8	6	11	0	0	0	1	0	1	4	2	5	CDU/CSU	SPD	SPD	Tendenz zu CDU/CSU	CDU/CSU Gewonnen von SPD
40	Nienburg II – Schaumburg	NI	31	27	35	29	24	34	17	15	19	10	8	12	2	1	3	5	4	7	0	0	0	1	1	2	5	3	7	CDU/CSU	SPD	SPD	Unentschieden	CDU/CSU Gewonnen von SPD
41	Stadt Hannover I	NI	24	20	26	30	25	35	14	12	16	16	13	19	4	2	5	7	5	10	0	0	0	1	1	1	5	3	7	SPD	CDU/CSU	SPD	Tendenz zu SPD	Wahlkreis verteidigt von SPD
42	Stadt Hannover II	NI	23	20	27	30	24	35	12	10	15	20	17	23	3	2	4	8	5	10	0	0	0	1	0	1	4	3	6	SPD	CDU/CSU	SPD	Tendenz zu SPD	Wahlkreis verteidigt von SPD
43	Hannover-Land I	NI	32	29	36	31	26	36	15	13	17	10	8	12	2	1	3	4	3	6	0	0	0	1	1	2	4	2	6	CDU/CSU	SPD	SPD	Unentschieden	CDU/CSU Gewonnen von SPD
44	Celle – Uelzen	NI	33	29	37	25	21	31	19	17	21	10	8	12	3	1	4	5	4	6	0	0	0	2	1	3	4	2	5	CDU/CSU	SPD	CDU/CSU	Tendenz zu CDU/CSU	Wahlkreis verteidigt von CDU/CSU
45	Gifhorn – Peine	NI	29	25	33	31	26	36	18	16	21	9	7	11	2	1	3	6	4	8	0	0	0	1	1	2	4	2	5	SPD	CDU/CSU	SPD	Unentschieden	Wahlkreis verteidigt von SPD
46	Hameln-Pyrmont – Holzminden	NI	27	24	31	31	25	36	18	17	20	9	7	11	2	1	3	7	5	10	0	0	0	1	1	2	4	2	5	SPD	CDU/CSU	SPD	Unentschieden	Wahlkreis verteidigt von SPD
47	Hannover-Land II	NI	29	25	32	30	26	35	16	14	19	11	9	13	3	2	4	6	4	8	0	0	0	1	1	2	5	3	7	SPD	CDU/CSU	SPD	Unentschieden	Wahlkreis verteidigt von SPD
48	Hildesheim	NI	29	26	32	29	24	34	16	14	18	11	9	14	2	2	3	6	4	9	0	0	0	1	1	1	5	3	6	SPD	CDU/CSU	SPD	Unentschieden	Wahlkreis verteidigt von SPD
49	Salzgitter – Wolfenbüttel	NI	28	25	31	30	26	35	19	17	21	8	6	10	2	1	3	8	6	10	0	0	0	1	1	2	4	2	6	SPD	CDU/CSU	SPD	Unentschieden	Wahlkreis verteidigt von SPD
50	Braunschweig	NI	26	23	30	30	25	36	14	12	16	16	13	18	3	2	4	7	5	9	0	0	0	1	0	1	4	2	5	SPD	CDU/CSU	SPD	Unentschieden	Wahlkreis verteidigt von SPD
51	Helmstedt – Wolfsburg	NI	28	24	32	33	28	39	18	16	21	8	6	10	2	1	3	6	4	8	0	0	0	0	0	0	5	3	7	SPD	CDU/CSU	SPD	Tendenz zu SPD	Wahlkreis verteidigt von SPD
52	Goslar – Northeim – Göttingen II	NI	34	30	38	24	19	29	17	15	19	10	8	12	2	1	3	6	4	8	0	0	0	2	1	3	5	3	7	CDU/CSU	SPD	SPD	Tendenz zu CDU/CSU	CDU/CSU Gewonnen von SPD
53	Göttingen I	NI	31	27	34	27	21	32	9	8	11	18	15	21	4	2	5	6	5	8	0	0	0	1	1	2	4	3	6	CDU/CSU	SPD	SPD	Unentschieden	CDU/CSU Gewonnen von SPD
54	Bremen I	HB	24	21	28	23	18	27	16	14	18	17	14	20	3	2	5	11	8	13	0	0	0	0	0	0	6	4	9	CDU/CSU	SPD	SPD	Unentschieden	CDU/CSU Gewonnen von SPD
55	Bremen II – Bremerhaven	HB	21	17	24	25	21	30	21	18	24	11	9	14	2	2	3	11	8	14	0	0	0	1	1	1	8	5	11	SPD	AfD	SPD	Unentschieden	Wahlkreis verteidigt von SPD
56	Prignitz – Ostprignitz-Ruppin – Havelland I	BB	19	16	23	23	18	28	33	30	37	4	3	6	2	1	3	11	7	14	0	0	0	1	1	2	6	4	9	AfD	SPD	SPD	Tendenz zu AfD	AfD Gewonnen von SPD
57	Uckermark – Barnim I	BB	20	17	23	21	17	25	33	30	37	5	3	6	2	1	4	9	7	12	0	0	0	2	1	2	8	5	11	AfD	SPD	SPD	Wahrscheinlich AfD	AfD Gewonnen von SPD
58	Oberhavel – Havelland II	BB	27	23	31	18	14	21	28	25	32	8	6	10	3	2	4	9	7	12	0	0	0	2	1	3	5	3	7	AfD	CDU/CSU	SPD	Unentschieden	AfD Gewonnen von SPD
59	Märkisch-Oderland – Barnim II	BB	26	22	30	17	13	21	30	27	33	5	4	7	2	1	3	13	10	17	0	0	0	1	0	2	6	3	8	AfD	CDU/CSU	SPD	Unentschieden	AfD Gewonnen von SPD
60	Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I	BB	22	19	26	21	17	26	30	27	33	6	4	8	2	1	3	11	9	15	0	0	0	2	1	2	6	4	9	AfD	CDU/CSU	SPD	Tendenz zu AfD	AfD Gewonnen von SPD
61	Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II	BB	22	19	26	25	21	31	18	16	21	15	12	17	4	2	5	11	8	14	0	0	0	1	1	1	4	3	6	SPD	CDU/CSU	SPD	Unentschieden	Wahlkreis verteidigt von SPD
62	Dahme-Spreewald – Teltow-Fläming III	BB	24	20	28	19	15	24	30	26	35	6	4	8	2	1	4	10	8	13	0	0	0	2	1	3	7	4	9	AfD	CDU/CSU	SPD	Tendenz zu AfD	AfD Gewonnen von SPD
63	Frankfurt (Oder) – Oder-Spree	BB	18	15	21	18	14	22	35	32	39	5	4	6	2	1	3	16	13	20	0	0	0	1	1	2	5	3	7	AfD	CDU/CSU	SPD	Wahrscheinlich AfD	AfD Gewonnen von SPD
64	Cottbus – Spree-Neiße	BB	19	16	22	18	14	22	40	37	43	4	2	5	2	1	3	9	7	12	0	0	0	2	1	3	7	4	10	AfD	CDU/CSU	SPD	Wahrscheinlich AfD	AfD Gewonnen von SPD
65	Elbe-Elster – Oberspreewald-Lausitz	BB	17	14	21	18	14	23	40	36	45	4	3	5	2	1	4	10	7	13	0	0	0	2	1	3	7	4	10	AfD	SPD	SPD	Wahrscheinlich AfD	AfD Gewonnen von SPD
66	Altmark – Jerichower Land	ST	24	21	28	15	11	19	33	30	37	4	3	6	2	1	3	12	9	15	0	0	0	2	1	3	7	4	10	AfD	CDU/CSU	SPD	Tendenz zu AfD	AfD Gewonnen von SPD
67	Börde – Salzlandkreis	ST	23	20	27	14	11	18	37	34	41	4	3	5	2	1	3	12	9	15	0	0	0	2	1	3	6	4	8	AfD	CDU/CSU	CDU/CSU	Wahrscheinlich AfD	AfD Gewonnen von CDU/CSU
68	Harz	ST	25	22	29	18	14	22	32	29	35	4	3	6	2	1	3	11	8	14	0	0	0	2	1	3	6	4	8	AfD	CDU/CSU	CDU/CSU	Tendenz zu AfD	AfD Gewonnen von CDU/CSU
69	Magdeburg	ST	23	20	28	19	14	23	28	24	32	7	5	8	2	1	4	11	8	14	0	0	0	1	1	2	9	6	13	AfD	CDU/CSU	SPD	Unentschieden	AfD Gewonnen von SPD
70	Anhalt – Dessau – Wittenberg	ST	28	24	31	14	11	17	35	32	38	5	4	7	2	1	3	9	7	12	0	0	0	3	2	4	4	3	6	AfD	CDU/CSU	CDU/CSU	Tendenz zu AfD	AfD Gewonnen von CDU/CSU
71	Halle	ST	21	18	24	17	13	21	29	27	32	6	5	8	3	2	4	17	13	21	0	0	0	1	1	2	5	4	8	AfD	CDU/CSU	SPD	Tendenz zu AfD	AfD Gewonnen von SPD
72	Burgenland – Saalekreis	ST	24	20	27	14	11	18	41	38	44	4	3	5	2	1	3	9	7	12	0	0	0	2	1	3	5	3	7	AfD	CDU/CSU	CDU/CSU	Wahrscheinlich AfD	AfD Gewonnen von CDU/CSU
73	Mansfeld	ST	23	19	26	14	10	18	40	37	44	3	2	4	2	1	3	11	8	14	0	0	0	2	1	3	5	3	7	AfD	CDU/CSU	CDU/CSU	Wahrscheinlich AfD	AfD Gewonnen von CDU/CSU
74	Berlin-Mitte	BE	19	16	22	21	18	25	15	12	18	20	17	23	5	3	7	12	9	15	4	2	7	0	0	1	3	2	5	SPD	Bündnis 90/Die Grünen	Bündnis 90/Die Grünen	Unentschieden	SPD Gewonnen von Bündnis 90/Die Grünen
75	Berlin-Pankow	BE	18	15	21	13	10	17	25	22	29	15	12	18	3	2	4	18	14	24	0	0	0	1	0	1	7	4	10	AfD	Die Linke	Bündnis 90/Die Grünen	Tendenz zu AfD	AfD Gewonnen von Bündnis 90/Die Grünen
76	Berlin-Reinickendorf	BE	28	24	32	25	20	31	21	19	25	9	7	11	3	2	4	7	5	10	0	0	0	0	0	0	6	4	9	CDU/CSU	SPD	CDU/CSU	Unentschieden	Wahlkreis verteidigt von CDU/CSU
77	Berlin-Spandau – Charlottenburg Nord	BE	25	22	29	24	20	28	22	20	25	9	7	10	3	2	4	9	7	12	0	0	0	0	0	0	8	4	11	CDU/CSU	SPD	SPD	Unentschieden	CDU/CSU Gewonnen von SPD
78	Berlin-Steglitz-Zehlendorf	BE	39	34	44	21	16	26	10	8	13	17	14	21	4	3	7	6	3	8	0	0	0	1	0	1	2	1	3	CDU/CSU	SPD	CDU/CSU	Wahrscheinlich CDU/CSU	Wahlkreis verteidigt von CDU/CSU
79	Berlin-Charlottenburg-Wilmersdorf	BE	32	28	38	23	18	28	11	9	13	17	13	20	5	3	8	7	5	11	0	0	0	0	0	0	4	2	7	CDU/CSU	SPD	SPD	Tendenz zu CDU/CSU	CDU/CSU Gewonnen von SPD
80	Berlin-Tempelhof-Schöneberg	BE	24	21	28	21	16	25	16	13	18	19	16	22	3	2	5	10	7	14	0	0	0	0	0	0	6	4	9	CDU/CSU	SPD	SPD	Unentschieden	CDU/CSU Gewonnen von SPD
81	Berlin-Neukölln	BE	20	17	24	21	17	26	20	17	23	12	10	15	3	2	4	16	12	20	0	0	0	1	0	1	7	4	10	SPD	CDU/CSU	SPD	Unentschieden	Wahlkreis verteidigt von SPD
82	Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost	BE	13	10	17	18	13	22	15	12	19	23	19	28	4	3	7	19	15	24	0	0	0	0	0	0	8	4	11	Bündnis 90/Die Grünen	Die Linke	Bündnis 90/Die Grünen	Unentschieden	Wahlkreis verteidigt von Bündnis 90/Die Grünen
83	Berlin-Treptow-Köpenick	BE	15	12	18	9	6	12	18	15	22	3	2	4	3	1	4	38	33	44	9	5	12	0	0	0	5	3	8	Die Linke	AfD	Die Linke	Wahrscheinlich Die Linke	Wahlkreis verteidigt von Die Linke
84	Berlin-Marzahn-Hellersdorf	BE	25	21	29	11	8	14	27	23	31	4	2	5	2	1	2	19	15	24	10	6	14	1	0	1	3	2	5	AfD	CDU/CSU	CDU/CSU	Unentschieden	AfD Gewonnen von CDU/CSU
85	Berlin-Lichtenberg	BE	17	14	20	10	7	13	22	18	26	6	4	7	2	1	4	23	17	28	12	8	16	0	0	1	9	6	12	Die Linke	AfD	Die Linke	Unentschieden	Wahlkreis verteidigt von Die Linke
86	Aachen I	NW	33	29	37	21	16	26	0	0	0	25	21	29	4	3	6	9	6	12	0	0	0	1	1	2	7	5	10	CDU/CSU	Bündnis 90/Die Grünen	Bündnis 90/Die Grünen	Tendenz zu CDU/CSU	CDU/CSU Gewonnen von Bündnis 90/Die Grünen
87	Aachen II	NW	41	36	46	29	24	35	0	0	0	11	9	13	3	2	4	7	5	9	0	0	0	1	1	2	7	5	10	CDU/CSU	SPD	SPD	Wahrscheinlich CDU/CSU	CDU/CSU Gewonnen von SPD
88	Heinsberg	NW	40	35	44	23	17	28	16	14	19	9	7	11	2	1	3	4	3	5	0	0	0	2	1	3	5	3	7	CDU/CSU	SPD	CDU/CSU	Wahrscheinlich CDU/CSU	Wahlkreis verteidigt von CDU/CSU
89	Düren	NW	38	34	42	24	20	29	17	15	20	8	6	10	2	1	3	5	3	6	0	0	0	2	1	2	4	3	6	CDU/CSU	SPD	CDU/CSU	Wahrscheinlich CDU/CSU	Wahlkreis verteidigt von CDU/CSU
90	Rhein-Erft-Kreis I	NW	37	33	41	24	20	28	15	14	17	11	9	13	3	2	5	5	3	6	0	0	0	1	1	2	4	2	5	CDU/CSU	SPD	CDU/CSU	Wahrscheinlich CDU/CSU	Wahlkreis verteidigt von CDU/CSU
91	Euskirchen – Rhein-Erft-Kreis II	NW	38	34	42	20	17	25	17	15	18	11	9	13	4	2	5	4	3	5	0	0	0	2	1	3	4	3	6	CDU/CSU	SPD	CDU/CSU	Wahrscheinlich CDU/CSU	Wahlkreis verteidigt von CDU/CSU
92	Köln I	NW	25	22	28	26	21	31	15	13	17	16	14	19	3	2	5	10	7	14	0	0	0	1	1	1	4	2	6	SPD	CDU/CSU	SPD	Unentschieden	Wahlkreis verteidigt von SPD
93	Köln II	NW	29	26	32	20	16	23	8	6	9	31	27	34	4	3	6	4	2	5	0	0	0	1	0	1	5	3	6	Bündnis 90/Die Grünen	CDU/CSU	Bündnis 90/Die Grünen	Unentschieden	Wahlkreis verteidigt von Bündnis 90/Die Grünen
94	Köln III	NW	20	18	23	24	20	27	15	13	18	26	23	30	3	2	4	6	4	9	0	0	0	1	1	2	4	3	6	Bündnis 90/Die Grünen	SPD	SPD	Unentschieden	Bündnis 90/Die Grünen Gewonnen von SPD
95	Bonn	NW	31	27	35	23	19	27	11	10	13	19	16	22	5	3	7	6	4	8	0	0	0	1	1	2	4	2	6	CDU/CSU	SPD	Bündnis 90/Die Grünen	Tendenz zu CDU/CSU	CDU/CSU Gewonnen von Bündnis 90/Die Grünen
96	Rhein-Sieg-Kreis I	NW	37	33	41	23	19	27	15	14	17	12	10	14	4	2	5	5	3	6	0	0	0	1	1	2	4	2	5	CDU/CSU	SPD	CDU/CSU	Wahrscheinlich CDU/CSU	Wahlkreis verteidigt von CDU/CSU
97	Rhein-Sieg-Kreis II	NW	45	41	49	20	16	24	12	10	14	12	9	14	3	2	4	4	2	5	0	0	0	1	1	2	4	2	5	CDU/CSU	SPD	CDU/CSU	Mit hoher Wahrscheinlichkeit CDU/CSU	Wahlkreis verteidigt von CDU/CSU
