WK_ID	WKR_NAME	LAND_ABR	UnionShare	UnionLo	UnionHi	SPDShare	SPDLo	SPDHi	AfDShare	AfDLo	AfDHi	GreenShare	GreenLo	GreenHi	FDPShare	FDPLo	FDPHi	LinkeShare	LinkeLo	LinkeHi	BSWShare	BSWLo	BSWHi	FWShare	FWLo	FWHi	SonstigeShare	SonstigeLo	SonstigeHi	Winner25	Second25	Winner21	YouGovCall	ChangeFrom21
98	Oberbergischer Kreis	NW	37	34	41	20	16	24	18	16	20	10	8	12	3	2	4	5	3	6	0	0	0	2	1	3	5	3	8	CDU/CSU	SPD	CDU/CSU	Wahrscheinlich CDU/CSU	Wahlkreis verteidigt von CDU/CSU
99	Rheinisch-Bergischer Kreis	NW	41	37	45	17	13	21	13	11	15	15	12	18	6	3	8	4	2	5	0	0	0	3	1	4	2	1	4	CDU/CSU	SPD	CDU/CSU	Wahrscheinlich CDU/CSU	Wahlkreis verteidigt von CDU/CSU
100	Leverkusen – Köln IV	NW	23	19	26	33	27	38	18	16	20	10	8	12	3	2	4	9	6	12	0	0	0	1	0	1	5	3	6	SPD	CDU/CSU	SPD	Wahrscheinlich SPD	Wahlkreis verteidigt von SPD
101	Wuppertal I	NW	26	23	29	29	25	34	19	17	21	11	9	13	4	2	5	7	5	9	0	0	0	1	1	2	4	2	5	SPD	CDU/CSU	SPD	Unentschieden	Wahlkreis verteidigt von SPD
102	Solingen – Remscheid – Wuppertal II	NW	30	26	33	30	25	36	16	14	19	9	7	11	3	2	4	5	4	7	0	0	0	0	0	0	6	4	9	SPD	CDU/CSU	SPD	Unentschieden	Wahlkreis verteidigt von SPD
103	Mettmann I	NW	36	32	39	20	16	24	13	12	15	18	16	21	4	3	6	4	3	6	0	0	0	0	0	0	4	2	6	CDU/CSU	SPD	CDU/CSU	Wahrscheinlich CDU/CSU	Wahlkreis verteidigt von CDU/CSU
104	Mettmann II	NW	36	32	39	25	20	29	15	13	17	12	9	14	3	2	4	5	3	7	0	0	0	0	0	0	5	3	7	CDU/CSU	SPD	CDU/CSU	Wahrscheinlich CDU/CSU	Wahlkreis verteidigt von CDU/CSU
105	Düsseldorf I	NW	40	36	44	20	15	24	10	9	12	17	14	20	5	4	7	4	2	5	0	0	0	1	1	2	3	2	4	CDU/CSU	SPD	CDU/CSU	Wahrscheinlich CDU/CSU	Wahlkreis verteidigt von CDU/CSU
106	Düsseldorf II	NW	27	24	30	22	17	27	16	13	18	17	15	21	4	2	5	6	4	8	0	0	0	0	0	0	8	5	11	CDU/CSU	SPD	SPD	Unentschieden	CDU/CSU Gewonnen von SPD
107	Neuss I	NW	38	33	42	23	19	28	15	13	17	10	8	12	3	2	4	5	3	7	0	0	0	0	0	0	6	4	9	CDU/CSU	SPD	CDU/CSU	Wahrscheinlich CDU/CSU	Wahlkreis verteidigt von CDU/CSU
108	Mönchengladbach	NW	36	32	41	18	14	23	18	16	20	12	10	15	3	2	4	0	0	0	0	0	0	2	1	3	10	7	14	CDU/CSU	SPD	CDU/CSU	Wahrscheinlich CDU/CSU	Wahlkreis verteidigt von CDU/CSU
109	Krefeld I – Neuss II	NW	38	34	42	19	15	23	15	13	17	13	11	16	5	3	6	4	3	6	0	0	0	2	1	3	4	2	5	CDU/CSU	SPD	CDU/CSU	Wahrscheinlich CDU/CSU	Wahlkreis verteidigt von CDU/CSU
110	Viersen	NW	41	36	45	21	17	25	14	12	16	11	9	13	3	2	4	5	3	6	0	0	0	1	1	2	5	3	7	CDU/CSU	SPD	CDU/CSU	Wahrscheinlich CDU/CSU	Wahlkreis verteidigt von CDU/CSU
111	Kleve	NW	40	36	43	22	17	27	14	13	16	11	9	13	3	2	5	5	3	6	0	0	0	2	1	3	3	2	5	CDU/CSU	SPD	CDU/CSU	Wahrscheinlich CDU/CSU	Wahlkreis verteidigt von CDU/CSU
112	Wesel I	NW	35	31	39	24	20	30	16	14	18	10	9	13	3	2	4	6	4	8	0	0	0	2	1	2	4	2	6	CDU/CSU	SPD	SPD	Wahrscheinlich CDU/CSU	CDU/CSU Gewonnen von SPD
113	Krefeld II – Wesel II	NW	33	30	37	26	22	31	15	14	17	10	9	12	3	2	4	6	4	8	0	0	0	1	1	2	5	3	7	CDU/CSU	SPD	SPD	Tendenz zu CDU/CSU	CDU/CSU Gewonnen von SPD
114	Duisburg I	NW	21	18	25	34	28	40	19	17	21	10	8	13	2	1	3	8	6	11	0	0	0	1	1	1	5	3	7	SPD	CDU/CSU	SPD	Wahrscheinlich SPD	Wahlkreis verteidigt von SPD
115	Duisburg II	NW	21	18	24	29	24	34	25	23	28	8	6	10	2	1	3	9	7	12	0	0	0	1	1	2	5	3	7	SPD	AfD	SPD	Unentschieden	Wahlkreis verteidigt von SPD
116	Oberhausen – Wesel III	NW	26	22	30	26	21	32	20	18	24	10	8	12	3	2	4	7	5	9	0	0	0	0	0	0	7	5	11	SPD	CDU/CSU	SPD	Unentschieden	Wahlkreis verteidigt von SPD
117	Mülheim – Essen I	NW	27	23	30	30	25	35	18	15	20	11	9	13	3	2	4	5	3	7	0	0	0	1	1	2	6	4	8	SPD	CDU/CSU	SPD	Unentschieden	Wahlkreis verteidigt von SPD
118	Essen II	NW	22	19	25	28	23	33	23	21	26	9	8	11	2	1	3	8	6	11	0	0	0	1	1	2	6	4	8	SPD	AfD	SPD	Unentschieden	Wahlkreis verteidigt von SPD
119	Essen III	NW	37	33	41	21	16	26	12	10	14	16	13	19	3	2	4	5	4	7	0	0	0	1	1	2	5	3	7	CDU/CSU	SPD	CDU/CSU	Wahrscheinlich CDU/CSU	Wahlkreis verteidigt von CDU/CSU
120	Recklinghausen I	NW	28	24	32	31	26	36	18	16	20	9	7	11	3	2	4	6	4	8	0	0	0	1	1	1	5	3	7	SPD	CDU/CSU	SPD	Unentschieden	Wahlkreis verteidigt von SPD
121	Recklinghausen II	NW	30	27	34	29	24	34	19	17	21	9	7	11	2	2	3	5	4	7	0	0	0	1	1	2	4	2	6	CDU/CSU	SPD	SPD	Unentschieden	CDU/CSU Gewonnen von SPD
122	Gelsenkirchen	NW	21	18	24	28	23	33	26	24	29	9	7	10	2	2	4	7	5	9	0	0	0	1	1	2	5	3	8	SPD	AfD	SPD	Unentschieden	Wahlkreis verteidigt von SPD
123	Steinfurt I – Borken I	NW	42	38	46	21	16	26	14	12	16	10	8	12	3	2	4	4	3	6	0	0	0	2	1	2	4	3	6	CDU/CSU	SPD	CDU/CSU	Wahrscheinlich CDU/CSU	Wahlkreis verteidigt von CDU/CSU
124	Bottrop – Recklinghausen III	NW	29	25	33	29	24	34	19	17	21	9	7	11	3	2	4	6	4	8	0	0	0	1	1	2	5	3	7	CDU/CSU	SPD	SPD	Unentschieden	CDU/CSU Gewonnen von SPD
125	Borken II	NW	46	41	50	19	15	23	12	10	14	10	8	12	3	2	4	4	3	5	0	0	0	2	1	3	4	3	6	CDU/CSU	SPD	CDU/CSU	Mit hoher Wahrscheinlichkeit CDU/CSU	Wahlkreis verteidigt von CDU/CSU
126	Coesfeld – Steinfurt II	NW	45	40	50	19	14	24	11	9	12	14	11	16	3	2	4	4	3	5	0	0	0	0	0	0	5	3	7	CDU/CSU	SPD	CDU/CSU	Mit hoher Wahrscheinlichkeit CDU/CSU	Wahlkreis verteidigt von CDU/CSU
127	Steinfurt III	NW	37	33	41	23	18	28	14	12	16	13	11	16	3	2	4	5	3	6	0	0	0	0	0	0	5	3	8	CDU/CSU	SPD	CDU/CSU	Wahrscheinlich CDU/CSU	Wahlkreis verteidigt von CDU/CSU
128	Münster	NW	30	26	34	20	15	24	9	7	11	28	24	32	4	2	5	6	4	8	0	0	0	0	0	0	5	3	7	CDU/CSU	Bündnis 90/Die Grünen	Bündnis 90/Die Grünen	Unentschieden	CDU/CSU Gewonnen von Bündnis 90/Die Grünen
129	Warendorf	NW	39	34	43	24	19	29	14	13	16	11	9	13	3	2	4	5	3	6	0	0	0	1	1	2	4	2	5	CDU/CSU	SPD	CDU/CSU	Wahrscheinlich CDU/CSU	Wahlkreis verteidigt von CDU/CSU
130	Gütersloh I	NW	42	38	46	20	16	25	15	13	17	10	9	12	3	2	4	4	3	5	0	0	0	2	1	3	4	2	6	CDU/CSU	SPD	CDU/CSU	Wahrscheinlich CDU/CSU	Wahlkreis verteidigt von CDU/CSU
131	Bielefeld – Gütersloh II	NW	26	22	29	25	20	30	16	14	18	16	13	19	4	3	6	8	6	10	0	0	0	0	0	0	6	3	8	CDU/CSU	SPD	SPD	Unentschieden	CDU/CSU Gewonnen von SPD
132	Herford – Minden-Lübbecke II	NW	30	27	34	29	24	34	19	17	21	8	7	10	2	1	3	6	4	8	0	0	0	1	1	2	4	3	6	CDU/CSU	SPD	SPD	Unentschieden	CDU/CSU Gewonnen von SPD
133	Minden-Lübbecke I	NW	30	27	34	29	24	34	18	16	21	9	7	11	2	2	3	6	4	7	0	0	0	1	1	2	5	3	7	CDU/CSU	SPD	SPD	Unentschieden	CDU/CSU Gewonnen von SPD
134	Lippe I	NW	30	27	34	21	17	26	18	16	21	12	10	14	3	2	4	6	4	8	0	0	0	2	1	2	7	5	11	CDU/CSU	SPD	SPD	Tendenz zu CDU/CSU	CDU/CSU Gewonnen von SPD
135	Höxter – Gütersloh III – Lippe II	NW	40	35	44	24	19	30	17	14	19	8	6	10	2	1	3	4	3	5	0	0	0	2	1	2	4	2	6	CDU/CSU	SPD	CDU/CSU	Wahrscheinlich CDU/CSU	Wahlkreis verteidigt von CDU/CSU
136	Paderborn	NW	47	42	51	16	12	20	14	12	17	10	8	12	2	1	3	5	3	7	0	0	0	0	0	0	6	3	9	CDU/CSU	SPD	CDU/CSU	Mit hoher Wahrscheinlichkeit CDU/CSU	Wahlkreis verteidigt von CDU/CSU
137	Hagen – Ennepe-Ruhr-Kreis I	NW	32	28	37	21	17	27	19	17	22	10	8	13	3	2	4	5	3	7	3	2	5	2	1	2	4	2	6	CDU/CSU	SPD	SPD	Wahrscheinlich CDU/CSU	CDU/CSU Gewonnen von SPD
138	Ennepe-Ruhr-Kreis II	NW	30	27	34	27	22	31	16	14	18	12	10	14	3	2	4	6	5	8	0	0	0	1	1	2	4	3	6	CDU/CSU	SPD	SPD	Unentschieden	CDU/CSU Gewonnen von SPD
139	Bochum I	NW	26	23	30	33	27	38	10	8	12	13	11	16	4	2	6	9	7	13	0	0	0	0	0	0	5	2	7	SPD	CDU/CSU	SPD	Tendenz zu SPD	Wahlkreis verteidigt von SPD
140	Herne – Bochum II	NW	22	19	26	31	26	36	21	19	24	9	7	12	2	1	3	8	6	10	0	0	0	0	0	0	6	4	9	SPD	CDU/CSU	SPD	Tendenz zu SPD	Wahlkreis verteidigt von SPD
141	Dortmund I	NW	26	21	31	25	20	30	18	14	22	13	10	16	3	2	5	7	4	9	0	0	0	0	0	0	9	5	14	CDU/CSU	SPD	SPD	Unentschieden	CDU/CSU Gewonnen von SPD
142	Dortmund II	NW	22	19	25	28	23	33	20	17	22	12	10	15	3	2	4	8	6	11	0	0	0	0	0	0	7	4	10	SPD	CDU/CSU	SPD	Tendenz zu SPD	Wahlkreis verteidigt von SPD
143	Unna I	NW	28	25	32	30	24	35	16	14	18	11	9	13	2	1	3	6	4	8	0	0	0	0	0	0	6	4	9	SPD	CDU/CSU	SPD	Unentschieden	Wahlkreis verteidigt von SPD
144	Hamm – Unna II	NW	27	23	30	28	23	33	20	18	22	10	8	13	3	2	3	7	5	9	0	0	0	0	0	0	6	4	8	SPD	CDU/CSU	SPD	Unentschieden	Wahlkreis verteidigt von SPD
145	Soest	NW	37	33	41	22	17	27	17	15	19	11	9	13	3	2	4	4	3	6	0	0	0	2	1	2	4	2	5	CDU/CSU	SPD	CDU/CSU	Wahrscheinlich CDU/CSU	Wahlkreis verteidigt von CDU/CSU
146	Hochsauerlandkreis	NW	40	35	45	28	23	33	14	12	17	7	5	9	2	1	3	4	3	5	0	0	0	0	0	0	5	3	8	CDU/CSU	SPD	CDU/CSU	Wahrscheinlich CDU/CSU	Wahlkreis verteidigt von CDU/CSU
147	Siegen-Wittgenstein	NW	36	32	39	25	20	29	18	16	20	9	7	11	3	2	4	5	3	7	0	0	0	1	1	2	4	2	5	CDU/CSU	SPD	CDU/CSU	Wahrscheinlich CDU/CSU	Wahlkreis verteidigt von CDU/CSU
148	Olpe – Märkischer Kreis I	NW	39	35	43	24	19	29	17	15	19	8	6	9	3	2	4	4	3	6	0	0	0	2	1	3	3	2	5	CDU/CSU	SPD	CDU/CSU	Wahrscheinlich CDU/CSU	Wahlkreis verteidigt von CDU/CSU
149	Märkischer Kreis II	NW	37	33	41	22	18	26	19	17	22	8	6	10	3	2	4	5	4	7	0	0	0	0	0	0	6	4	9	CDU/CSU	SPD	CDU/CSU	Wahrscheinlich CDU/CSU	Wahlkreis verteidigt von CDU/CSU
150	Nordsachsen	SN	31	26	36	10	7	14	39	36	42	4	2	5	1	1	2	8	6	11	0	0	0	3	1	4	4	2	6	AfD	CDU/CSU	AfD	Tendenz zu AfD	Wahlkreis verteidigt von AfD
151	Leipzig I	SN	21	18	26	14	10	17	27	24	31	8	6	10	3	2	4	15	12	19	7	4	10	1	0	2	4	2	7	AfD	CDU/CSU	CDU/CSU	Tendenz zu AfD	AfD Gewonnen von CDU/CSU
152	Leipzig II	SN	21	17	24	11	8	14	20	17	23	9	7	12	3	2	4	24	19	28	6	4	9	1	0	1	6	3	8	Die Linke	CDU/CSU	Die Linke	Unentschieden	Wahlkreis verteidigt von Die Linke
153	Leipzig-Land	SN	32	28	37	11	8	14	33	29	37	4	3	5	2	1	2	7	5	9	8	5	11	2	1	3	2	1	4	AfD	CDU/CSU	AfD	Unentschieden	Wahlkreis verteidigt von AfD
154	Meißen	SN	27	23	32	9	6	12	43	39	46	4	3	6	2	1	3	8	6	11	0	0	0	3	2	5	5	3	7	AfD	CDU/CSU	AfD	Wahrscheinlich AfD	Wahlkreis verteidigt von AfD
155	Bautzen I	SN	29	24	33	7	5	9	44	40	47	2	1	3	1	1	2	9	7	12	0	0	0	2	1	4	6	4	8	AfD	CDU/CSU	AfD	Wahrscheinlich AfD	Wahlkreis verteidigt von AfD
156	Görlitz	SN	28	23	32	6	4	8	41	37	46	3	2	3	1	0	2	7	4	9	10	6	16	2	1	3	3	2	5	AfD	CDU/CSU	AfD	Wahrscheinlich AfD	Wahlkreis verteidigt von AfD
157	Sächsische Schweiz-Osterzgebirge	SN	24	20	29	8	5	11	45	41	50	3	2	5	1	1	2	10	7	14	0	0	0	3	1	4	5	3	8	AfD	CDU/CSU	AfD	Wahrscheinlich AfD	Wahlkreis verteidigt von AfD
158	Dresden I	SN	21	18	25	12	9	15	32	29	36	6	4	8	3	2	5	18	15	22	0	0	0	0	0	0	7	4	11	AfD	CDU/CSU	CDU/CSU	Wahrscheinlich AfD	AfD Gewonnen von CDU/CSU
159	Dresden II – Bautzen II	SN	22	18	26	14	11	18	32	28	36	9	7	11	4	2	6	12	9	15	0	0	0	1	1	2	6	4	9	AfD	CDU/CSU	CDU/CSU	Wahrscheinlich AfD	AfD Gewonnen von CDU/CSU
160	Mittelsachsen	SN	28	24	32	9	6	12	44	41	47	3	2	4	1	1	2	8	6	11	0	0	0	2	1	3	5	3	7	AfD	CDU/CSU	AfD	Wahrscheinlich AfD	Wahlkreis verteidigt von AfD
161	Chemnitz	SN	20	17	24	17	13	22	33	29	37	5	4	6	2	1	4	9	7	12	8	5	12	1	1	2	4	2	6	AfD	CDU/CSU	SPD	Wahrscheinlich AfD	AfD Gewonnen von SPD
162	Chemnitzer Umland – Erzgebirgskreis II	SN	29	25	33	9	6	12	40	37	44	3	2	5	1	1	2	10	7	12	0	0	0	0	0	0	8	4	12	AfD	CDU/CSU	AfD	Wahrscheinlich AfD	Wahlkreis verteidigt von AfD
163	Erzgebirgskreis I	SN	29	24	34	5	4	7	37	32	42	2	1	4	1	0	2	7	4	10	13	8	20	2	1	4	3	2	4	AfD	CDU/CSU	AfD	Tendenz zu AfD	Wahlkreis verteidigt von AfD
164	Zwickau	SN	28	24	33	7	5	9	35	31	39	3	2	4	2	1	3	15	11	19	6	3	10	2	1	3	3	1	5	AfD	CDU/CSU	AfD	Tendenz zu AfD	Wahlkreis verteidigt von AfD
165	Vogtlandkreis	SN	24	21	28	12	9	16	42	38	45	4	3	5	2	1	4	8	6	10	0	0	0	2	1	4	5	3	7	AfD	CDU/CSU	CDU/CSU	Wahrscheinlich AfD	AfD Gewonnen von CDU/CSU
166	Waldeck	HE	30	26	34	27	22	33	19	17	21	9	7	11	3	2	4	6	4	8	0	0	0	2	1	3	4	2	5	CDU/CSU	SPD	SPD	Unentschieden	CDU/CSU Gewonnen von SPD
167	Kassel	HE	26	23	30	24	18	28	17	15	20	14	11	16	3	2	4	11	8	14	0	0	0	1	1	2	5	3	6	CDU/CSU	SPD	SPD	Unentschieden	CDU/CSU Gewonnen von SPD
168	Werra-Meißner – Hersfeld-Rotenburg	HE	28	24	32	30	25	35	21	19	24	7	5	8	2	1	3	7	5	9	0	0	0	1	1	2	4	3	6	SPD	CDU/CSU	SPD	Unentschieden	Wahlkreis verteidigt von SPD
169	Schwalm-Eder	HE	27	23	31	29	24	35	21	19	24	8	6	10	3	2	4	6	4	8	0	0	0	2	1	2	4	3	6	SPD	CDU/CSU	SPD	Unentschieden	Wahlkreis verteidigt von SPD
170	Marburg	HE	28	25	32	27	22	32	18	16	20	11	9	13	2	2	3	9	6	11	0	0	0	1	1	2	4	3	6	CDU/CSU	SPD	SPD	Unentschieden	CDU/CSU Gewonnen von SPD
171	Lahn-Dill	HE	33	30	37	24	19	29	20	18	22	8	6	10	2	1	3	6	4	8	0	0	0	2	1	3	4	3	6	CDU/CSU	SPD	SPD	Tendenz zu CDU/CSU	CDU/CSU Gewonnen von SPD
172	Gießen	HE	31	27	35	23	18	27	18	16	20	11	9	13	2	2	3	7	5	9	0	0	0	0	0	0	8	5	11	CDU/CSU	SPD	SPD	Tendenz zu CDU/CSU	CDU/CSU Gewonnen von SPD
173	Fulda	HE	37	33	41	16	13	20	24	22	26	8	6	9	2	1	3	4	3	6	0	0	0	4	2	5	5	3	6	CDU/CSU	AfD	CDU/CSU	Wahrscheinlich CDU/CSU	Wahlkreis verteidigt von CDU/CSU
174	Main-Kinzig – Wetterau II – Schotten	HE	32	27	36	21	17	26	23	21	26	9	7	11	4	2	5	5	4	7	0	0	0	3	2	4	4	2	6	CDU/CSU	AfD	SPD	Tendenz zu CDU/CSU	CDU/CSU Gewonnen von SPD
175	Hochtaunus	HE	39	35	43	20	16	25	15	13	17	13	10	15	4	3	6	5	3	7	0	0	0	2	1	3	3	2	4	CDU/CSU	SPD	CDU/CSU	Wahrscheinlich CDU/CSU	Wahlkreis verteidigt von CDU/CSU
176	Wetterau I	HE	34	31	38	23	19	28	16	14	19	11	9	13	4	3	5	5	3	7	0	0	0	2	1	3	4	3	6	CDU/CSU	SPD	SPD	Wahrscheinlich CDU/CSU	CDU/CSU Gewonnen von SPD
177	Rheingau-Taunus – Limburg	HE	35	31	39	22	17	27	17	15	19	12	10	15	4	3	6	5	3	7	0	0	0	2	1	3	3	2	5	CDU/CSU	SPD	CDU/CSU	Wahrscheinlich CDU/CSU	Wahlkreis verteidigt von CDU/CSU
178	Wiesbaden	HE	30	26	33	22	18	27	16	15	19	15	12	18	4	3	6	8	6	11	0	0	0	1	1	2	4	2	6	CDU/CSU	SPD	CDU/CSU	Tendenz zu CDU/CSU	Wahlkreis verteidigt von CDU/CSU
179	Hanau	HE	32	29	35	23	19	28	19	18	22	10	8	12	4	2	5	6	4	8	0	0	0	2	1	3	4	2	6	CDU/CSU	SPD	SPD	Tendenz zu CDU/CSU	CDU/CSU Gewonnen von SPD
180	Main-Taunus	HE	42	38	46	17	14	21	13	12	15	14	11	16	5	3	6	4	3	6	0	0	0	2	1	3	3	2	4	CDU/CSU	SPD	CDU/CSU	Wahrscheinlich CDU/CSU	Wahlkreis verteidigt von CDU/CSU
181	Frankfurt am Main I	HE	27	24	30	24	20	28	15	13	17	15	12	18	7	5	9	9	6	12	0	0	0	1	1	2	3	2	4	CDU/CSU	SPD	SPD	Unentschieden	CDU/CSU Gewonnen von SPD
182	Frankfurt am Main II	HE	29	26	32	15	11	18	13	11	15	24	21	28	5	4	7	8	6	10	0	0	0	2	1	2	5	3	7	CDU/CSU	Bündnis 90/Die Grünen	Bündnis 90/Die Grünen	Unentschieden	CDU/CSU Gewonnen von Bündnis 90/Die Grünen
183	Groß-Gerau	HE	34	30	38	22	17	25	18	16	20	10	8	12	3	2	4	8	6	11	0	0	0	2	1	2	4	3	6	CDU/CSU	SPD	SPD	Wahrscheinlich CDU/CSU	CDU/CSU Gewonnen von SPD
184	Offenbach	HE	30	26	34	23	18	28	18	16	20	13	10	15	4	3	5	7	5	9	0	0	0	2	1	2	4	2	6	CDU/CSU	SPD	CDU/CSU	Tendenz zu CDU/CSU	Wahlkreis verteidigt von CDU/CSU
185	Darmstadt	HE	27	24	31	20	16	25	14	12	16	20	17	23	5	3	7	8	5	10	0	0	0	1	1	2	5	3	7	CDU/CSU	SPD	SPD	Tendenz zu CDU/CSU	CDU/CSU Gewonnen von SPD
186	Odenwald	HE	33	29	36	24	19	29	17	16	20	10	8	12	4	2	5	7	5	9	0	0	0	2	1	3	4	3	6	CDU/CSU	SPD	SPD	Tendenz zu CDU/CSU	CDU/CSU Gewonnen von SPD
187	Bergstraße	HE	35	31	39	20	16	24	18	17	21	12	10	14	3	2	5	5	3	6	0	0	0	2	1	3	5	3	7	CDU/CSU	SPD	CDU/CSU	Wahrscheinlich CDU/CSU	Wahlkreis verteidigt von CDU/CSU
188	Eichsfeld – Nordhausen – Kyffhäuserkreis	TH	25	21	29	11	8	15	33	30	37	4	3	5	2	1	3	9	6	11	11	6	16	0	0	0	4	2	7	AfD	CDU/CSU	CDU/CSU	Tendenz zu AfD	AfD Gewonnen von CDU/CSU
189	Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis	TH	30	25	35	10	7	14	32	28	35	3	2	4	1	1	2	11	8	14	10	6	14	1	1	2	2	1	4	AfD	CDU/CSU	AfD	Unentschieden	Wahlkreis verteidigt von AfD
190	Jena – Sömmerda – Weimarer Land I	TH	22	18	26	10	8	14	29	25	32	6	4	7	2	1	3	19	15	23	9	5	12	1	0	2	3	2	5	AfD	CDU/CSU	SPD	Tendenz zu AfD	AfD Gewonnen von SPD
191	Gotha – Ilm-Kreis	TH	25	20	29	10	7	13	33	29	37	3	2	4	1	1	2	12	9	16	12	7	18	1	1	2	2	1	4	AfD	CDU/CSU	AfD	Tendenz zu AfD	Wahlkreis verteidigt von AfD
192	Erfurt – Weimar – Weimarer Land II	TH	18	15	21	10	7	12	25	22	28	5	4	6	2	2	3	32	26	37	6	4	8	0	0	1	3	2	4	Die Linke	AfD	SPD	Tendenz zu Die Linke	Die Linke Gewonnen von SPD
193	Gera – Greiz – Altenburger Land	TH	25	22	29	12	9	15	36	33	40	3	2	3	1	1	2	10	7	12	9	6	13	1	0	1	3	1	4	AfD	CDU/CSU	AfD	Wahrscheinlich AfD	Wahlkreis verteidigt von AfD
194	Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis	TH	27	23	31	8	6	11	37	33	40	3	2	4	1	1	2	11	8	14	9	5	13	1	1	2	3	1	4	AfD	CDU/CSU	AfD	Wahrscheinlich AfD	Wahlkreis verteidigt von AfD
195	Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg	TH	23	19	26	16	12	20	32	28	35	4	3	5	2	1	2	9	6	11	11	7	16	2	1	2	3	1	4	AfD	CDU/CSU	SPD	Tendenz zu AfD	AfD Gewonnen von SPD
196	Neuwied	RP	35	30	39	21	16	26	19	16	22	9	7	11	2	1	3	5	3	6	4	2	6	3	1	4	3	1	4	CDU/CSU	SPD	CDU/CSU	Wahrscheinlich CDU/CSU	Wahlkreis verteidigt von CDU/CSU
197	Ahrweiler	RP	37	32	41	20	15	25	18	15	21	11	8	13	3	2	4	5	3	7	0	0	0	4	2	5	4	2	5	CDU/CSU	SPD	CDU/CSU	Wahrscheinlich CDU/CSU	Wahlkreis verteidigt von CDU/CSU
198	Koblenz	RP	33	29	37	22	17	27	17	15	21	11	9	14	3	2	5	6	5	9	0	0	0	3	2	4	5	3	7	CDU/CSU	SPD	CDU/CSU	Wahrscheinlich CDU/CSU	Wahlkreis verteidigt von CDU/CSU
199	Mosel/Rhein-Hunsrück	RP	39	34	44	17	12	21	19	16	22	9	7	12	3	2	5	3	2	5	0	0	0	5	3	8	5	3	7	CDU/CSU	AfD	CDU/CSU	Wahrscheinlich CDU/CSU	Wahlkreis verteidigt von CDU/CSU
200	Kreuznach	RP	33	29	39	18	14	23	20	17	24	8	6	11	3	1	4	6	4	8	6	4	9	2	1	4	4	2	5	CDU/CSU	AfD	SPD	Wahrscheinlich CDU/CSU	CDU/CSU Gewonnen von SPD
